filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T00:11:11.876113,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T00:28:33.385547,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T01:28:59.649698,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T02:15:57.159132,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T02:43:54.593094,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T04:55:48.857245,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T05:44:52.102528,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T05:54:43.196868,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T06:32:48.630830,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T08:53:26.517623,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T09:13:34.366679,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T09:15:57.461019,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T09:26:59.800642,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T09:34:10.894981,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T09:47:54.593094,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T09:54:43.951585,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T10:05:39.800642,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T13:40:29.008189,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T13:54:14.517623,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T14:17:54.593094,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T20:21:43.272340,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T20:58:46.668566,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T22:13:51.574226,80776.0
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T22:26:16.178000,80776.0
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T03:44:39.522226,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T10:05:26.163736,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T10:24:49.182604,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T14:21:29.937321,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T15:57:50.012792,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T16:08:28.503358,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T16:23:50.616566,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T17:09:53.786377,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T17:25:46.842981,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T17:47:59.975057,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T18:15:49.258075,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T18:27:22.541094,82146.56603773584
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T19:36:37.861849,82146.56603773584
